Country,dt,AverageTemperature,AverageTemperatureUncertainty
France (Europe),1988,11.244,0.164
France (Europe),1989,11.731499999999999,0.22433333333333336
France (Europe),1990,11.806083333333333,0.1991666666666667
France (Europe),1991,10.729750000000001,0.15983333333333336
France (Europe),1992,11.111916666666666,0.23816666666666667
France (Europe),1993,10.752666666666665,0.19408333333333336
France (Europe),1994,11.98975,0.19558333333333333
France (Europe),1995,11.578333333333333,0.17308333333333328
France (Europe),1996,10.526166666666667,0.15808333333333333
France (Europe),1997,11.816500000000003,0.21033333333333334
France (Europe),1998,11.261750000000001,0.15891666666666668
France (Europe),1999,11.619166666666667,0.158
France (Europe),2000,11.738083333333334,0.1929166666666667
France (Europe),2001,11.361583333333334,0.18300000000000002
France (Europe),2002,11.767499999999998,0.16766666666666666
France (Europe),2003,12.076916666666667,0.23183333333333336
France (Europe),2004,11.266333333333336,0.18399999999999997
France (Europe),2005,11.229083333333334,0.14991666666666667
France (Europe),2006,11.871250000000002,0.20824999999999994
France (Europe),2007,11.571833333333332,0.17875000000000005
France (Europe),2008,11.20075,0.16966666666666666
France (Europe),2009,11.6075,0.19625000000000004
France (Europe),2010,10.531583333333332,0.18533333333333332
France (Europe),2011,12.27275,0.19625
France (Europe),2012,11.33175,0.27416666666666667
France (Europe),2013,11.19575,0.310875
Germany,1960,8.514166666666666,0.21716666666666665
Germany,1961,9.124166666666666,0.21275
Germany,1962,7.324916666666668,0.25116666666666665
Germany,1963,7.220500000000001,0.23308333333333334
Germany,1964,8.236333333333333,0.19466666666666665
Germany,1965,7.632999999999999,0.23408333333333334
Germany,1966,8.645666666666665,0.23233333333333336
Germany,1967,9.041666666666666,0.22091666666666665
Germany,1968,8.323583333333334,0.20433333333333334
Germany,1969,7.912999999999999,0.21691666666666667
Germany,1970,7.856083333333334,0.21525000000000002
Germany,1971,8.600166666666667,0.21725000000000003
Germany,1972,8.054833333333333,0.21808333333333332
Germany,1973,8.402833333333334,0.213
Germany,1974,8.970416666666667,0.1915
Germany,1975,9.093666666666666,0.2225
Germany,1976,8.6505,0.22816666666666666
Germany,1977,8.804833333333333,0.17741666666666667
Germany,1978,7.9327499999999995,0.2121666666666667
Germany,1979,7.901666666666667,0.18491666666666665
Germany,1980,7.727250000000001,0.15625
Germany,1981,8.3205,0.1980833333333333
Germany,1982,9.073333333333332,0.18466666666666667
Germany,1983,9.185666666666668,0.17825000000000002
Germany,1984,8.123,0.20233333333333334
Germany,1985,7.613333333333333,0.207
Germany,1986,8.085083333333332,0.18783333333333332
Germany,1987,7.58925,0.1779166666666667
Germany,1988,9.195583333333333,0.16516666666666666
Germany,1989,9.679833333333333,0.20858333333333332
Germany,1990,9.6895,0.21966666666666668
Germany,1991,8.523083333333334,0.17758333333333334
Germany,1992,9.505833333333333,0.25533333333333336
Germany,1993,8.6335,0.17983333333333337
Germany,1994,9.847000000000001,0.18425
Germany,1995,9.0335,0.17508333333333337
Germany,1996,7.374416666666669,0.16991666666666663
Germany,1997,9.048666666666666,0.19241666666666665
Germany,1998,9.17175,0.15633333333333335
Germany,1999,9.620750000000001,0.15991666666666668
Germany,2000,10.020416666666666,0.19541666666666668
Germany,2001,9.090416666666666,0.18475
Germany,2002,9.637333333333334,0.16008333333333333
Germany,2003,9.494250000000001,0.22483333333333333
Germany,2004,9.053416666666664,0.19825000000000004
Germany,2005,9.128416666666665,0.16483333333333333
Germany,2006,9.706000000000001,0.2120833333333333
Germany,2007,9.9975,0.17616666666666667
Germany,2008,9.642166666666666,0.19516666666666663
Germany,2009,9.359166666666665,0.2006666666666667
Germany,2010,8.008999999999999,0.1875
Germany,2011,9.819583333333334,0.20016666666666663
Germany,2012,9.227166666666665,0.24450000000000002
Germany,2013,9.23525,0.22524999999999998
India,1960,24.287166666666668,0.2568333333333333
India,1961,23.815250000000002,0.22166666666666665
India,1962,23.88475,0.28733333333333333
India,1963,24.09575,0.2739166666666667
India,1964,24.070499999999996,0.2635
India,1965,24.09091666666667,0.29233333333333333
India,1966,24.438583333333337,0.2615833333333333
India,1967,23.99208333333333,0.26875
India,1968,23.86475,0.25625000000000003
India,1969,24.501166666666666,0.27066666666666667
India,1970,24.074083333333334,0.23625000000000004
India,1971,23.634000000000004,0.2160833333333333
India,1972,24.272166666666667,0.27675
India,1973,24.386583333333334,0.22908333333333333
India,1974,24.175750000000004,0.19658333333333333
India,1975,23.862166666666667,0.24725
India,1976,24.199583333333333,0.22983333333333333
India,1977,24.288916666666665,0.20750000000000002
India,1978,24.00733333333333,0.22816666666666663
India,1979,24.553583333333332,0.19825000000000004
India,1980,24.59308333333333,0.2151666666666667
India,1981,24.22841666666667,0.2184166666666667
India,1982,24.21825,0.18991666666666665
India,1983,23.938,0.17800000000000002
India,1984,24.18508333333334,0.18925
India,1985,24.48633333333333,0.21433333333333335
India,1986,24.2945,0.22041666666666668
India,1987,24.789083333333338,0.20033333333333334
India,1988,24.72775,0.16700000000000004
India,1989,24.162333333333333,0.21824999999999997
India,1990,24.178166666666666,0.2363333333333333
India,1991,24.31175,0.18575
India,1992,24.222916666666663,0.21608333333333332
India,1993,24.408666666666665,0.21525000000000002
India,1994,24.29641666666667,0.23191666666666663
India,1995,24.429749999999995,0.1885833333333333
India,1996,24.436916666666672,0.18508333333333335
India,1997,24.04733333333333,0.22308333333333338
India,1998,24.755416666666665,0.16466666666666666
India,1999,24.659833333333335,0.17108333333333334
India,2000,24.498,0.20025
India,2001,24.581916666666668,0.20258333333333334
India,2002,24.913,0.19375
India,2003,24.649916666666666,0.2565
India,2004,24.634583333333328,0.19899999999999998
India,2005,24.49541666666667,0.1815833333333333
India,2006,24.732083333333332,0.21883333333333332
India,2007,24.649916666666666,0.1759166666666667
India,2008,24.405999999999995,0.17808333333333337
India,2009,25.146666666666658,0.165
India,2010,25.05083333333333,0.20683333333333329
India,2011,24.41558333333333,0.21333333333333335
India,2012,24.640833333333333,0.27091666666666664
India,2013,25.413249999999998,0.2935
Iran,1960,17.89375,0.385
Iran,1961,17.739333333333335,0.3400833333333333
Iran,1962,17.798000000000002,0.3918333333333333
Iran,1963,18.258916666666668,0.25525000000000003
Iran,1964,16.906333333333333,0.32583333333333336
Iran,1965,17.752583333333334,0.3585
Iran,1966,18.403166666666667,0.3179166666666666
Iran,1967,17.28008333333333,0.326
Iran,1968,17.54825,0.32399999999999995
Iran,1969,17.522916666666667,0.3445833333333334
Iran,1970,18.452,0.31316666666666676
Iran,1971,17.901416666666666,0.30216666666666664
Iran,1972,16.42383333333333,0.3273333333333333
Iran,1973,17.786583333333333,0.33358333333333334
Iran,1974,16.98925,0.27408333333333335
Iran,1975,17.44183333333333,0.31083333333333335
Iran,1976,17.35291666666667,0.2855
Iran,1977,18.28291666666667,0.28575
Iran,1978,18.15125,0.30741666666666667
Iran,1979,18.208666666666666,0.2780833333333333
Iran,1980,18.328833333333332,0.25716666666666665
Iran,1981,18.418249999999997,0.2740833333333333
Iran,1982,17.32675,0.2753333333333334
Iran,1983,17.95991666666667,0.29983333333333334
Iran,1984,17.627916666666668,0.27225000000000005
Iran,1985,18.111333333333338,0.28291666666666665
Iran,1986,17.70066666666667,0.24541666666666664
Iran,1987,18.39625,0.24283333333333335
Iran,1988,18.512166666666662,0.2324166666666667
Iran,1989,17.99308333333333,0.3134166666666667
Iran,1990,18.42641666666667,0.30933333333333335
Iran,1991,18.029249999999998,0.21283333333333335
Iran,1992,16.949749999999998,0.2565
Iran,1993,17.741083333333332,0.23441666666666663
Iran,1994,18.386,0.2141666666666667
Iran,1995,18.40791666666667,0.22150000000000003
Iran,1996,18.206416666666666,0.19233333333333333
Iran,1997,18.303250000000002,0.1991666666666667
Iran,1998,19.169916666666666,0.21233333333333335
Iran,1999,19.15791666666667,0.21091666666666667
Iran,2000,18.892083333333332,0.2041666666666667
Iran,2001,19.473833333333335,0.26400000000000007
Iran,2002,19.142416666666666,0.27625000000000005
Iran,2003,18.915166666666668,0.3359166666666667
Iran,2004,19.149916666666666,0.2624166666666667
Iran,2005,18.806666666666665,0.28691666666666665
Iran,2006,19.211916666666667,0.2841666666666667
Iran,2007,18.74041666666667,0.24508333333333332
Iran,2008,18.90491666666667,0.2524166666666667
Iran,2009,19.1095,0.2479166666666667
Iran,2010,20.09016666666667,0.26166666666666666
Iran,2011,18.91541666666667,0.26958333333333334
Iran,2012,18.959666666666664,0.2889166666666667
Iran,2013,20.541000000000004,0.579625
Italy,1960,13.072833333333335,0.27466666666666667
Italy,1961,13.570583333333332,0.25466666666666665
Italy,1962,12.658000000000001,0.28933333333333333
Italy,1963,12.604583333333332,0.21958333333333332
Italy,1964,12.991333333333332,0.23291666666666666
Italy,1965,12.455583333333331,0.28350000000000003
Italy,1966,13.040583333333336,0.25016666666666665
Italy,1967,13.137250000000002,0.21783333333333332
Italy,1968,12.845250000000002,0.22133333333333335
Italy,1969,12.629583333333334,0.22375
Italy,1970,12.840583333333335,0.21475000000000002
Italy,1971,12.788916666666665,0.22391666666666668
Italy,1972,12.716833333333334,0.22533333333333336
Italy,1973,12.798500000000002,0.22091666666666668
Italy,1974,12.807583333333335,0.22316666666666665
Italy,1975,12.937166666666668,0.25466666666666665
